datetime,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
2020-11-25 01:00:00,1,263.69,0,15.42,64.37,2.35,1.63,2.56,0.95
2020-11-25 02:00:00,1,267.03,0,16.45,62.94,3.16,1.96,3.04,1
2020-11-25 03:00:00,1,267.03,0,15.08,63.66,3.64,2.23,3.37,0.95
2020-11-25 04:00:00,1,277.04,0,15.59,61.51,3.43,2.84,4.18,0.99
2020-11-25 05:00:00,1,280.38,0,15.25,60.8,3.25,2.96,4.34,0.88
2020-11-25 06:00:00,1,277.04,0,13.2,62.94,3.19,2.5,3.77,0.83
2020-11-25 07:00:00,1,273.71,0,12.17,65.09,3.04,2.27,3.49,0.79
2020-11-25 08:00:00,1,273.71,0,13.2,63.66,2.98,2.42,3.76,0.67
2020-11-25 09:00:00,1,283.72,0,15.77,60.08,3.49,2.99,4.56,0.71
2020-11-25 10:00:00,1,293.73,0,18.51,55.79,4.11,3.55,5.37,0.75
2020-11-25 11:00:00,1,300.41,0,21.42,55.08,4.59,3.89,5.9,0.74
2020-11-25 12:00:00,1,317.1,0.01,26.05,53.64,4.47,4.43,6.55,0.89
2020-11-25 13:00:00,1,307.08,0.05,23.65,59.37,3.19,3.51,5.19,0.91
2020-11-25 14:00:00,1,283.72,0.14,19.54,63.66,2.38,2.36,3.76,0.92
2020-11-25 15:00:00,1,260.35,0.17,15.42,67.23,2.09,1.67,3.05,0.84
2020-11-25 16:00:00,1,243.66,0.2,12.17,72.24,1.86,1.21,2.64,0.6
2020-11-25 17:00:00,1,250.34,0.29,13.2,68.67,2.18,1.4,3.17,0.63
2020-11-25 18:00:00,1,257.02,0.34,14.57,64.37,2.74,1.72,4.07,0.65
2020-11-25 19:00:00,1,273.71,0.22,18.34,58.65,3.87,2.31,5.5,0.79
2020-11-25 20:00:00,1,307.08,0.14,20.91,45.78,4.41,3.01,7.59,0.97
2020-11-25 21:00:00,1,317.1,0.04,22.28,41.13,4.11,3.2,8.06,1.06
2020-11-25 22:00:00,1,320.44,0.01,25.36,42.2,3.93,3.33,7.95,1.16
2020-11-25 23:00:00,1,343.8,0.03,30.85,37.91,3.99,4.02,8.97,1.33
2020-11-26 00:00:00,1,367.17,0.05,34.62,33.62,3.93,4.96,10.52,1.38
2020-11-26 01:00:00,1,387.19,0.09,38.39,28.97,3.82,6.2,11.61,1.24
2020-11-26 02:00:00,2,420.57,0.19,43.53,22.35,3.73,8.01,12.9,1.14
2020-11-26 03:00:00,2,447.27,0.42,47.3,16.27,3.46,9.56,14.21,1.09
2020-11-26 04:00:00,2,453.95,0.7,46.61,11.8,2.86,10.34,15.41,1.08
2020-11-26 05:00:00,2,447.27,0.6,43.87,10.01,2.59,10.09,15.75,0.83
2020-11-26 06:00:00,2,427.25,0.44,40.44,10.55,2.62,9.57,15.6,0.6
2020-11-26 07:00:00,1,410.56,0.33,37.36,11.62,2.77,9.24,14.3,0.46
2020-11-26 08:00:00,1,377.18,0.17,32.56,15.74,2.8,8.44,12.23,0.34
2020-11-26 09:00:00,1,330.45,0.06,24.68,23.96,2.53,7.2,10.09,0.25
2020-11-26 10:00:00,1,287.06,0.01,16.45,35.05,2.44,5.79,8.2,0.2
2020-11-26 11:00:00,1,267.03,0.01,13.88,39.7,2.47,5.15,7.25,0.23
2020-11-26 12:00:00,1,280.38,0.03,18.51,35.76,2.62,5.51,7.62,0.46
2020-11-26 13:00:00,1,307.08,0.13,24.68,31.47,2.71,6,8.33,0.61
2020-11-26 14:00:00,1,327.11,0.43,28.1,31.11,3.07,6.74,9.28,0.7
2020-11-26 15:00:00,1,320.44,0.53,23.99,38.98,3.34,6.74,8.91,0.65
2020-11-26 16:00:00,1,280.38,0.52,16.11,52.93,3.01,5.35,7,0.46
2020-11-26 17:00:00,1,260.35,0.89,12.85,58.65,2.74,4.43,6.1,0.38
2020-11-26 18:00:00,1,243.66,1.05,11.14,64.37,2.41,3.73,5.7,0.34
2020-11-26 19:00:00,1,250.34,0.99,13.2,62.94,2.3,3.48,5.4,0.4
2020-11-26 20:00:00,1,270.37,0.56,18.51,54.36,2.5,3.44,4.45,0.52
2020-11-26 21:00:00,1,287.06,0.09,23.65,47.21,2.74,3.49,4.44,0.65
2020-11-26 22:00:00,1,313.76,0.02,30.5,40.41,3.13,3.71,4.78,0.83
2020-11-26 23:00:00,1,363.83,0.09,37.7,29.68,3.64,4.71,6.05,1.03
2020-11-27 00:00:00,2,383.85,0.2,40.44,22.53,3.43,5.43,7.09,1.08
2020-11-27 01:00:00,2,390.53,0.36,40.44,18.24,3.01,5.95,7.89,1.11
2020-11-27 02:00:00,2,427.25,1.38,44.55,8.49,3.01,8.02,10.25,1.22
2020-11-27 03:00:00,2,460.63,5.03,46.61,1.65,3.1,10.23,12.57,1.33
2020-11-27 04:00:00,2,467.3,8.83,43.53,0.26,3.01,11.09,13.18,1.19
2020-11-27 05:00:00,1,440.6,8.05,39.76,0.21,2.95,9.8,11.18,0.72
2020-11-27 06:00:00,1,407.22,5.64,35.64,0.35,2.8,8.15,9.12,0.44
2020-11-27 07:00:00,1,387.19,3.97,31.53,0.69,2.59,6.89,7.71,0.35
2020-11-27 08:00:00,1,367.17,2.77,27.42,1.34,2.47,5.85,6.7,0.34
2020-11-27 09:00:00,1,343.8,1.79,23.65,2.71,2.65,4.96,5.81,0.37
2020-11-27 10:00:00,1,317.1,1.06,20.56,4.92,2.86,4.45,5.27,0.37
2020-11-27 11:00:00,1,310.42,1.13,19.54,5.41,3.1,4.4,5.23,0.43
2020-11-27 12:00:00,1,340.46,3.52,22.62,2.44,3.43,5.52,6.6,0.72
2020-11-27 13:00:00,1,407.22,11.85,25.36,0.64,3.79,7.46,9.03,1.16
